"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"175",2.5,"genotype-5",0,0,"genotype-5","genotype-5_2.5"
"191",2.5,"genotype-5",0,0,"genotype-5a","genotype-5a_2.5"
"174",2.5,"genotype-3",0,0,"genotype-3","genotype-3_2.5"
"190",2.5,"genotype-3",0,0,"genotype-3a","genotype-3a_2.5"
"172",2.5,"genotype-15",0,0,"genotype-15","genotype-15_2.5"
"188",2.5,"genotype-15",0,0,"genotype-15a","genotype-15a_2.5"
"170",2.5,"genotype-11",0,0,"genotype-11","genotype-11_2.5"
"186",2.5,"genotype-11",0,0,"genotype-11a","genotype-11a_2.5"
"169",2.5,"genotype-1",0,0,"genotype-1","genotype-1_2.5"
"185",2.5,"genotype-1",0,0,"genotype-1a","genotype-1a_2.5"
"171",2.5,"genotype-14",0,0,"genotype-14","genotype-14_2.5"
"187",2.5,"genotype-14",0,0,"genotype-14a","genotype-14a_2.5"
"173",2.5,"genotype-2",0,0,"genotype-2","genotype-2_2.5"
"189",2.5,"genotype-2",0,0,"genotype-2a","genotype-2a_2.5"
"179",2.5,"genotype-9",7.35,0.0787008119925047,"genotype-9a","genotype-9a_2.5"
"164",2.5,"genotype-10",4.74166666666667,0.0507718390291782,"genotype-10","genotype-10_2.5"
"180",2.5,"genotype-10",4.74166666666667,0.0507718390291782,"genotype-10a","genotype-10a_2.5"
"182",2.5,"genotype-4",3.5125,0.0376104220576425,"genotype-4a","genotype-4a_2.5"
"178",2.5,"genotype-13",9.875,0.105737485500134,"genotype-13a","genotype-13a_2.5"
"165",2.5,"genotype-8",3.65,0.0390827161595431,"genotype-8","genotype-8_2.5"
"168",2.5,"genotype-12",1.2,0.0128491121620416,"genotype-12","genotype-12_2.5"
"184",2.5,"genotype-12",1.2,0.0128491121620416,"genotype-12a","genotype-12a_2.5"
"181",2.5,"genotype-8",3.65,0.0390827161595431,"genotype-8a","genotype-8a_2.5"
"183",2.5,"genotype-0",3.19166666666667,0.0341750691532079,"genotype-0a","genotype-0a_2.5"
"200",3,"genotype-0",0,0,"genotype-0","genotype-0_3"
"199",3,"genotype-7",2.85,0.0213589807644267,"genotype-7","genotype-7_3"
"215",3,"genotype-7",2.85,0.0213589807644267,"genotype-7a","genotype-7a_3"
"194",3,"genotype-13",19.25,0.144266799900075,"genotype-13","genotype-13_3"
"198",3,"genotype-4",3.025,0.0226704971271546,"genotype-4","genotype-4_3"
"197",3,"genotype-9",4.4,0.0329752685485885,"genotype-9","genotype-9_3"
"208",3,"genotype-6",0,0,"genotype-6","genotype-6_3"
"224",3,"genotype-6",0,0,"genotype-6a","genotype-6a_3"
"207",3,"genotype-5",0,0,"genotype-5","genotype-5_3"
"223",3,"genotype-5",0,0,"genotype-5a","genotype-5a_3"
"206",3,"genotype-3",0,0,"genotype-3","genotype-3_3"
"222",3,"genotype-3",0,0,"genotype-3a","genotype-3a_3"
"205",3,"genotype-15",0,0,"genotype-15","genotype-15_3"
"221",3,"genotype-15",0,0,"genotype-15a","genotype-15a_3"
"202",3,"genotype-11",0,0,"genotype-11","genotype-11_3"
"218",3,"genotype-11",0,0,"genotype-11a","genotype-11a_3"
"201",3,"genotype-1",0,0,"genotype-1","genotype-1_3"
"217",3,"genotype-1",0,0,"genotype-1a","genotype-1a_3"
"204",3,"genotype-14",0,0,"genotype-14","genotype-14_3"
"220",3,"genotype-14",0,0,"genotype-14a","genotype-14a_3"
"193",3,"genotype-2",23.325,0.174806395203597,"genotype-2","genotype-2_3"
"209",3,"genotype-2",23.325,0.174806395203597,"genotype-2a","genotype-2a_3"
"213",3,"genotype-9",4.4,0.0329752685485885,"genotype-9a","genotype-9a_3"
"195",3,"genotype-10",8.21666666666667,0.0615788158880839,"genotype-10","genotype-10_3"
"211",3,"genotype-10",8.21666666666667,0.0615788158880839,"genotype-10a","genotype-10a_3"
"214",3,"genotype-4",3.025,0.0226704971271546,"genotype-4a","genotype-4a_3"
"210",3,"genotype-13",19.25,0.144266799900075,"genotype-13a","genotype-13a_3"
"196",3,"genotype-8",5.65,0.0423432425680739,"genotype-8","genotype-8_3"
"203",3,"genotype-12",0,0,"genotype-12","genotype-12_3"
"219",3,"genotype-12",0,0,"genotype-12a","genotype-12a_3"
"212",3,"genotype-8",5.65,0.0423432425680739,"genotype-8a","genotype-8a_3"
"216",3,"genotype-0",0,0,"genotype-0a","genotype-0a_3"
"232",4,"genotype-0",0,0,"genotype-0","genotype-0_4"
"230",4,"genotype-7",2.525,0.0215000354786064,"genotype-7","genotype-7_4"
"246",4,"genotype-7",2.525,0.0215000354786064,"genotype-7a","genotype-7a_4"
"226",4,"genotype-13",9.875,0.0840842971688072,"genotype-13","genotype-13_4"
"231",4,"genotype-4",1.7625,0.0150074505073441,"genotype-4","genotype-4_4"
"227",4,"genotype-9",4.25,0.0361881785283474,"genotype-9","genotype-9_4"
"240",4,"genotype-6",0,0,"genotype-6","genotype-6_4"
"256",4,"genotype-6",0,0,"genotype-6a","genotype-6a_4"
"239",4,"genotype-5",0,0,"genotype-5","genotype-5_4"
"255",4,"genotype-5",0,0,"genotype-5a","genotype-5a_4"
"238",4,"genotype-3",0,0,"genotype-3","genotype-3_4"
"254",4,"genotype-3",0,0,"genotype-3a","genotype-3a_4"
"237",4,"genotype-15",0,0,"genotype-15","genotype-15_4"
"253",4,"genotype-15",0,0,"genotype-15a","genotype-15a_4"
"234",4,"genotype-11",0,0,"genotype-11","genotype-11_4"
"250",4,"genotype-11",0,0,"genotype-11a","genotype-11a_4"
"233",4,"genotype-1",0,0,"genotype-1","genotype-1_4"
"249",4,"genotype-1",0,0,"genotype-1a","genotype-1a_4"
"236",4,"genotype-14",0,0,"genotype-14","genotype-14_4"
"252",4,"genotype-14",0,0,"genotype-14a","genotype-14a_4"
"225",4,"genotype-2",33.375,0.284183637266728,"genotype-2","genotype-2_4"
"241",4,"genotype-2",33.375,0.284183637266728,"genotype-2a","genotype-2a_4"
"243",4,"genotype-9",4.25,0.0361881785283474,"genotype-9a","genotype-9a_4"
"228",4,"genotype-10",4.10833333333333,0.0349819059107358,"genotype-10","genotype-10_4"
"244",4,"genotype-10",4.10833333333333,0.0349819059107358,"genotype-10a","genotype-10a_4"
"247",4,"genotype-4",1.7625,0.0150074505073441,"genotype-4a","genotype-4a_4"
"242",4,"genotype-13",9.875,0.0840842971688072,"genotype-13a","genotype-13a_4"
"229",4,"genotype-8",2.825,0.0240544951394309,"genotype-8","genotype-8_4"
"235",4,"genotype-12",0,0,"genotype-12","genotype-12_4"
"251",4,"genotype-12",0,0,"genotype-12a","genotype-12a_4"
"245",4,"genotype-8",2.825,0.0240544951394309,"genotype-8a","genotype-8a_4"
"248",4,"genotype-0",0,0,"genotype-0a","genotype-0a_4"
"263",5,"genotype-0",0,0,"genotype-0","genotype-0_5"
"259",5,"genotype-7",2.2,0.0214738897022938,"genotype-7","genotype-7_5"
"275",5,"genotype-7",2.2,0.0214738897022938,"genotype-7a","genotype-7a_5"
"260",5,"genotype-13",0.5,0.00488042947779405,"genotype-13","genotype-13_5"
"262",5,"genotype-4",0.5,0.00488042947779405,"genotype-4","genotype-4_5"
"258",5,"genotype-9",4.1,0.0400195217179112,"genotype-9","genotype-9_5"
"271",5,"genotype-6",0,0,"genotype-6","genotype-6_5"
"287",5,"genotype-6",0,0,"genotype-6a","genotype-6a_5"
"270",5,"genotype-5",0,0,"genotype-5","genotype-5_5"
"286",5,"genotype-5",0,0,"genotype-5a","genotype-5a_5"
"269",5,"genotype-3",0,0,"genotype-3","genotype-3_5"
"285",5,"genotype-3",0,0,"genotype-3a","genotype-3a_5"
"268",5,"genotype-15",0,0,"genotype-15","genotype-15_5"
"284",5,"genotype-15",0,0,"genotype-15a","genotype-15a_5"
"266",5,"genotype-11",0,0,"genotype-11","genotype-11_5"
"282",5,"genotype-11",0,0,"genotype-11a","genotype-11a_5"
"264",5,"genotype-1",0,0,"genotype-1","genotype-1_5"
"280",5,"genotype-1",0,0,"genotype-1a","genotype-1a_5"
"261",5,"genotype-14",0.5,0.00488042947779405,"genotype-14","genotype-14_5"
"277",5,"genotype-14",0.5,0.00488042947779405,"genotype-14a","genotype-14a_5"
"257",5,"genotype-2",43.425,0.423865300146413,"genotype-2","genotype-2_5"
"273",5,"genotype-2",43.425,0.423865300146413,"genotype-2a","genotype-2a_5"
"274",5,"genotype-9",4.1,0.0400195217179112,"genotype-9a","genotype-9a_5"
"265",5,"genotype-10",0,0,"genotype-10","genotype-10_5"
"281",5,"genotype-10",0,0,"genotype-10a","genotype-10a_5"
"278",5,"genotype-4",0.5,0.00488042947779405,"genotype-4a","genotype-4a_5"
"276",5,"genotype-13",0.5,0.00488042947779405,"genotype-13a","genotype-13a_5"
"272",5,"genotype-8",0,0,"genotype-8","genotype-8_5"
"267",5,"genotype-12",0,0,"genotype-12","genotype-12_5"
"283",5,"genotype-12",0,0,"genotype-12a","genotype-12a_5"
"288",5,"genotype-8",0,0,"genotype-8a","genotype-8a_5"
"279",5,"genotype-0",0,0,"genotype-0a","genotype-0a_5"
"295",5.5,"genotype-0",0,0,"genotype-0","genotype-0_5.5"
"292",5.5,"genotype-7",1.1,0.00928465921080397,"genotype-7","genotype-7_5.5"
"308",5.5,"genotype-7",1.1,0.00928465921080397,"genotype-7a","genotype-7a_5.5"
"293",5.5,"genotype-13",0.5,0.00422029964127453,"genotype-13","genotype-13_5.5"
"294",5.5,"genotype-4",0.5,0.00422029964127453,"genotype-4","genotype-4_5.5"
"290",5.5,"genotype-9",10.8,0.0911584722515299,"genotype-9","genotype-9_5.5"
"303",5.5,"genotype-6",0,0,"genotype-6","genotype-6_5.5"
"319",5.5,"genotype-6",0,0,"genotype-6a","genotype-6a_5.5"
